GEO,SEX,TIME,UNIT\AGE	TOTAL	Y65-69	Y70-74	Y_GE75
RS22,T,2019,NR	1 498 079	113 243	80 506	136 532
TR,T,2019,NR	82 003 882	2 612 207	1 856 922	2 717 075
TR1,T,2019,NR	15 067 724	380 429	259 149	366 967
TR10,T,2019,NR	15 067 724	380 429	259 149	366 967
TR2,T,2019,NR	3 569 552	162 358	115 984	173 132
TR21,T,2019,NR	1 802 315	71 828	48 110	71 304
TR22,T,2019,NR	1 767 237	90 530	67 874	101 828
TR3,T,2019,NR	10 514 200	428 415	307 572	453 022
TR31,T,2019,NR	4 320 519	173 167	123 508	173 423
TR32,T,2019,NR	3 093 015	128 972	94 297	144 335
TR33,T,2019,NR	3 100 666	126 276	89 767	135 264
TR4,T,2019,NR	7 968 135	269 643	187 032	267 430
TR41,T,2019,NR	4 089 156	144 163	100 024	144 101
TR42,T,2019,NR	3 878 979	125 480	87 008	123 329
TR5,T,2019,NR	7 961 507	253 029	176 646	252 156
TR51,T,2019,NR	5 503 985	170 371	116 588	166 865
TR52,T,2019,NR	2 457 522	82 658	60 058	85 291
TR6,T,2019,NR	10 461 409	327 765	226 401	318 129
TR61,T,2019,NR	3 137 694	106 737	74 595	110 210
TR62,T,2019,NR	4 034 593	130 092	88 164	117 134
TR63,T,2019,NR	3 289 122	90 936	63 642	90 785
TR7,T,2019,NR	4 064 957	149 984	112 366	156 806
TR71,T,2019,NR	1 603 688	59 997	44 649	62 388
TR72,T,2019,NR	2 461 269	89 987	67 717	94 418
TR8,T,2019,NR	4 688 532	219 404	161 717	241 388
TR81,T,2019,NR	1 046 711	49 280	33 224	47 933
TR82,T,2019,NR	819 468	46 214	35 009	56 562
TR83,T,2019,NR	2 822 353	123 910	93 484	136 893
TR9,T,2019,NR	2 719 113	117 930	86 973	154 950
TR90,T,2019,NR	2 719 113	117 930	86 973	154 950
TRA,T,2019,NR	2 211 054	58 596	47 394	68 564
TRA1,T,2019,NR	1 086 156	33 760	27 252	41 663
TRA2,T,2019,NR	1 124 898	24 836	20 142	26 901
TRB,T,2019,NR	3 929 719	90 256	65 332	99 074
TRB1,T,2019,NR	1 762 077	56 151	41 879	67 402
TRB2,T,2019,NR	2 167 642	34 105	23 453	31 672
TRC,T,2019,NR	8 847 980	154 398	110 356	165 457
TRC1,T,2019,NR	2 795 617	61 468	44 007	61 433
TRC2,T,2019,NR	3 768 205	58 143	41 061	61 068
TRC3,T,2019,NR	2 284 158	34 787	25 288	42 956
